# MsuH m_ini logL logTe M_ass b_ass y_ass m_app b-y dist abs_dist ID_parent age_parent
0.33 0.99697 -0.233 3.7323 5.468 5.93 5.441 -0.0135788776437 0.489256666667 0.8008 0.8008 2075185289.0 0.1999977
0.07 1.30166 0.524 3.8174 3.448 3.731 3.43 6.20656565452 0.312234358974 35.0512 35.0512 3150185175.0 1.76285
0.0 1.40188 0.806 3.7862 2.771 3.114 2.753 0.912941445995 0.362359519231 4.2417 4.2417 3150295665.0 3.242581
0.11 1.17097 0.543 3.7334 3.527 3.988 3.505 6.94479352947 0.498134230769 47.2188 47.2188 2074683462.0 5.675299
0.4 2.11657 1.344 3.9116 1.352 1.438 1.335 6.25325524505 0.132361282051 -91.6072 91.6072 4222211748.0 0.6055005
0.11 1.37281 0.827 3.781 2.714 3.07 2.696 7.43366707863 0.401093942308 -84.5331 84.5331 1000324117.0 3.571255
-0.1 1.21375 0.522 3.8085 3.472 3.771 3.454 6.64174298182 0.330531634615 42.2187 42.2187 1002816112.0 3.196897
0.44 1.93206 1.283 3.7871 1.543 1.896 1.524 1.32887444858 0.374892115385 9.0234 9.0234 4224353688.0 1.411292
0.11 0.96006 -0.174 3.7443 5.293 5.722 5.27 7.07121898518 0.459194487179 22.4468 22.4468 4223908578.0 2.616355
-0.14 1.22103 0.683 3.8103 3.067 3.36 3.049 3.05782850163 0.314177083333 9.9125 9.9125 1002176331.0 3.476232
-0.1 1.73358 1.215 3.873 1.69 1.854 1.672 4.68001699817 0.194475673077 -38.9241 38.9241 1001189493.0 1.394943
0.17 1.79145 1.092 3.8872 1.987 2.129 1.969 4.65058286273 0.170760865385 33.5739 33.5739 2076564143.0 0.8480524
0.33 1.58826 0.74 3.8495 2.865 3.089 2.847 5.98565910478 0.255234839744 41.2927 41.2927 4222408291.0 0.2041885
0.4 1.59926 0.868 3.8104 2.562 2.864 2.544 6.80202636635 0.341887339744 68.2885 68.2885 2076667381.0 1.832636
-0.35 1.47013 1.034 3.8524 2.172 2.379 2.155 2.69437734468 0.228053141026 -12.6458 12.6458 1000919070.0 2.102666
0.56 1.6895 0.886 3.8399 2.481 2.724 2.463 5.07030442044 0.271404326923 32.4615 32.4615 4223690427.0 0.8265432
0.17 1.52707 0.775 3.8461 2.791 3.018 2.773 4.58629638805 0.252250705128 -22.6222 22.6222 3150695517.0 1.021499
0.22 2.88967 2.004 4.0041 0.014 -0.003 0.0 -0.0339803468514 0.000121057692308 -9.7377 9.7377 3151086933.0 0.4108445
0.17 0.73188 -0.789 3.6504 7.294 7.906 7.227 5.9578991715 0.680728012821 5.3914 5.3914 4221684073.0 2.309642
0.0 1.87395 1.136 3.9515 1.983 2.014 1.967 2.99816816866 0.0520782051282 15.844 15.844 2077227004.0 0.1546111
0.28 0.82031 -0.55 3.6851 6.469 7.011 6.419 7.11598283791 0.596291057692 13.3881 13.3881 3149131140.0 4.963294
